2019-11-13,Nicholls St,83,Idaho,80
2019-11-13,Penn,91,Lafayette,61
2019-11-13,Providence,70,Holy Cross,61
2019-11-13,Savannah St,97,Tennessee Tech,83
2019-11-13,South Carolina,81,Norfolk St,64
2019-11-13,Saint Louis,69,North Alabama,58
2019-11-13,Temple,81,Georgia,77
2019-11-13,Tennessee,66,Georgia Tech,53
2019-11-13,Texas Tech,59,Southeastern Louisiana,40
2019-11-13,Tulane,81,Coastal Carolina,76
2019-11-13,UNC Greensboro,82,UNC Wilmington,61
2019-11-13,UNLV,72,UC Riverside,51
2019-11-13,Utah St,94,Mississippi Valley St,59
2019-11-13,Western Michigan,85,Oakland,77
2019-11-13,Wisconsin,77,Xavier,68
2019-11-13,Cal Baptist,70,Oral Roberts,69
2019-11-14,Arizona,79,UTEP,46
2019-11-14,Boston University,71,Albany,61
2019-11-14,Bradley,74,Jacksonville St,65
2019-11-14,Bryant,71,Saint Peter's,63
2019-11-14,Clemson,74,Sam Houston St,59
2019-11-14,Colorado St,81,Montana St,77
2019-11-14,Duke,84,Eastern Michigan,46
2019-11-14,Florida,82,La Salle,69
2019-11-14,Hofstra,92,North Carolina A&T,72
2019-11-14,Houston,79,Rice,68
2019-11-14,Indiana,96,Marquette,73
2019-11-14,IUPUI,76,Boston College,69
2019-11-14,Kentucky,96,North Dakota,58
2019-11-14,Loyola Chicago,75,Niagara,62
2019-11-14,Marshall,98,Mount St. Mary's,75
2019-11-14,Michigan,73,Villanova,46
2019-11-14,Michigan St,80,Louisiana Monroe,59
2019-11-14,Navy,77,Coppin St,58
2019-11-14,Nebraska,80,Seton Hall,57
2019-11-14,Northern Arizona,76,Nebraska Omaha,66
2019-11-14,Oklahoma St,82,UTSA,60
2019-11-14,Radford,63,Notre Dame,60
2019-11-14,Richmond,88,St. Francis NY,66
2019-11-14,San Diego St,103,Texas Southern,64
2019-11-14,Seattle,78,Washington St,69
2019-11-14,SMU,98,Western Carolina,65
2019-11-14,Saint Mary's,73,New Mexico St,58
2019-11-14,UT Rio Grande Valley,70,Prairie View A&M,57
2019-11-14,UAB,75,New Orleans,68
2019-11-14,USC,95,Stetson,59
2019-11-14,VMI,78,USC Upstate,72
2019-11-14,Wright St,84,Toledo,74
2019-11-14,Wyoming,86,Grambling St,78
2019-11-15,Abilene Christian,67,Denver,61
2019-11-15,Belmont,87,Lipscomb,83
2019-11-15,Bowling Green,75,North Carolina Central,60
2019-11-15,BYU,85,Oral Roberts,65
2019-11-15,Central Michigan,67,Cal St Bakersfield,55
2019-11-15,Connecticut,83,Syracuse,76
2019-11-15,Davidson,57,Wichita St,53
2019-11-15,Delaware,73,Cornell,56
2019-11-15,DePaul,72,Penn St,70
2019-11-15,Gonzaga,94,Texas A&M,71
2019-11-15,Hartford,68,Quinnipiac,54
2019-11-15,Illinois Chicago,100,William & Mary,95
2019-11-15,Iowa,77,Oregon,69
2019-11-15,Northeastern,68,Alabama,52
2019-11-15,Ohio St,69,Creighton,60
2019-11-15,Pacific,83,Idaho St,76
2019-11-15,Pittsburgh,97,Central Arkansas,71
2019-11-15,Purdue,92,Appalachian St,70
2019-11-15,Southern Miss,81,Troy,66
2019-11-15,Saint Joseph's,89,Wake Forest,69
2019-11-15,TCU,77,Fresno St,69
2019-11-15,UC Irvine,61,Santa Clara,49
2019-11-15,UCF,68,Cal St Fullerton,52
2019-11-15,Utah,98,Mississippi Valley St,63
2019-11-15,Virginia Tech,73,Ball St,64
2019-11-15,Western Kentucky,83,Valparaiso,71
2019-11-15,Weber St,85,San Jose St,77
2019-11-15,West Virginia,71,Monmouth,53
2019-11-16,Akron,87,Chicago St,46
2019-11-16,Alabama,79,Ball St,61
2019-11-16,American Univ,68,New Hampshire,44
2019-11-16,Austin Peay,80,Central Connecticut,78
2019-11-16,Baylor,81,Nicholls St,54
2019-11-16,Boise St,70,Jackson St,53
2019-11-16,Brown,82,UMass Lowell,74
2019-11-16,Butler,83,Mississippi,76
2019-11-16,Campbell,66,Florida A&M,59
2019-11-16,Cincinnati,74,Milwaukee,63
2019-11-16,Cleveland St,84,South Carolina St,69
2019-11-16,Colorado,79,Nebraska Omaha,75
2019-11-16,Dayton,91,Fort Wayne,80
2019-11-16,Florida Gulf Coast,84,South Dakota St,78
2019-11-16,Fordham,83,FIU,77
2019-11-16,Georgia Southern,80,Florida Atlantic,70
2019-11-16,Gardner Webb,97,Savannah St,77
2019-11-16,Georgia,75,Sam Houston St,64
2019-11-16,Georgia Tech,79,East Carolina,54
2019-11-16,Grand Canyon,96,Arkansas St,72
2019-11-16,High Point,60,South Dakota,56
2019-11-16,Holy Cross,84,Stony Brook,70
2019-11-16,Howard,68,Massachusetts,63
2019-11-16,Iowa,91,Connecticut,72
2019-11-16,James Madison,64,Charlotte,59
2019-11-16,Kansas,89,Louisiana Lafayette,76
2019-11-16,Kansas St,95,Eastern Kentucky,68
2019-11-16,Lehigh,72,Princeton,57
2019-11-16,Liberty,77,Kent St,70
2019-11-16,Longwood,89,Delaware St,73
2019-11-16,Louisville,86,Vermont,78
2019-11-16,Loyola Marymount,65,Georgetown,52
2019-11-16,Loyola Chicago,80,Grambling St,64
2019-11-16,LSU,74,Louisiana Tech,67
2019-11-16,Manhattan,55,Coastal Carolina,53
2019-11-16,Maryland,80,Hofstra,69
2019-11-16,Mercer,77,Tennessee Martin,60
2019-11-16,Miami OH,89,North Dakota St,78
2019-11-16,Mississippi St,79,Long Beach St,51
2019-11-16,Missouri,55,Kennesaw St,52
2019-11-16,Montana,93,Incarnate Word,66
2019-11-16,Morehead St,99,UMKC,89
2019-11-16,Middle Tennessee,76,Charleston Southern,73
2019-11-16,Northern Kentucky,77,UNC Asheville,50
2019-11-16,Nevada,87,Little Rock,59
2019-11-16,Niagara,72,Wyoming,67
2019-11-16,North Carolina,108,Tennessee Tech,58
2019-11-16,Northwestern,82,Binghamton,54
2019-11-16,Oregon,80,Syracuse,65
2019-11-16,Oregon St,61,Old Dominion,56
2019-11-16,Penn,78,Northern Iowa,71
2019-11-16,Pepperdine,74,Towson,65
2019-11-16,Purdue,79,Davidson,58
2019-11-16,Rhode Island,76,Harvard,74
