player_name,team,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts
Jordan Reed,New Hampshire,27,80.7,96.3,18.9,47.6,51.8,1.4,10,10.9,15.1,49,57,0.86,40,99,0.404,52,149,0.349,0.1,1.7,23,3,0.488311,91.8156,3,106.189,108.927,2.30087,142.99,-2.76336,-2.11864,-0.644728,-3.23051,31.4828,-2.97404,-0.256462,0.4828,2.4828,2.9655,1.4138,0.8621,0.0345,10.4138
Reginal Johnson,Alcorn St,26,51.2,94.8,27.3,44.4,46.77,8,11.6,9.4,12.5,42,68,0.618,68,151,0.45,29,100,0.29,0.8,1.4,27.1,3,0.88887,99.4945,2.7,111.187,117.725,0.866488,82.4049,-6.10865,-0.914525,-5.19412,-3.54953,21.1667,0.444659,-3.99419,1.5667,2.0667,3.6333,0.8667,0.5,0.1667,10.7333
Mike Daum,South Dakota St,32,83.7,120.8,32.3,57.4,62.33,8.8,28,11,11.4,186,223,0.834,211,366,0.577,67,177,0.379,3.6,1.2,41.1,3,5.61832,135.835,3.5,96.5305,97.6007,3.69983,259.721,3.96015,3.99398,-0.0338249,6.52377,33.3333,6.73996,-0.216199,2.3636,9.303,11.6667,1.7576,0.7273,0.9697,25.303
Davon Bell,Presbyterian,32,80.3,115.3,20.9,47.4,54.22,1.9,14,37.1,17.6,107,142,0.754,87,176,0.494,20,71,0.282,0,2.5,57.5,3,2.95726,113.19,2.6,107.245,109.638,2.27789,196.555,1.28809,2.16919,-0.881102,0.273948,31.6286,0.576951,-0.303003,0.5143,3.6857,4.2,6.5429,1.2857,0,10.0571
Ethan Happ,Wisconsin,34,78.6,102.2,34.9,53,52.45,8.4,27.2,35.6,16.9,75,161,0.466,257,480,0.535,0,5,0,4.4,2.2,33.2,3,4.46053,128.33,3.2,85.9172,81.4317,5.24143,264.206,11.588,3.46238,8.12558,11.5314,32.0294,5.71809,5.8133,2.2647,7.7941,10.0588,4.5,1.1176,1.2941,17.3235
Armani Branch,Norfolk St,31,31.6,98.4,16.7,50.5,52.94,3.5,16.7,9.7,19.2,19,27,0.704,31,56,0.554,16,53,0.302,3,1.6,24.8,3,0.169408,91.0939,4.9,98.1842,103.067,1.23103,84.2447,-1.86457,-2.15473,0.290164,-1.39291,14,-1.99136,0.598454,0.4118,1.9412,2.3529,0.7059,0.3824,0.2941,4.3529
Xavian Stapleton,Florida Atlantic,24,44,115.8,25.5,58.5,61.18,5.7,15.9,7.4,12.2,48,60,0.8,56,97,0.577,57,145,0.393,2,2.5,24.8,3,2.82137,123.933,5.2,94.9147,96.6849,2.53509,115.912,5.05345,4.23548,0.817962,8.09741,22.5,6.33084,1.76657,1.2692,3.3846,4.6538,0.6923,0.9615,0.3846,13.3462
Wil Bathurst,UAB,11,3.8,81.6,11.2,41.7,41.79,2.3,9.1,6.7,21.4,2,5,0.4,1,4,0.25,1,2,0.5,2.6,1.2,83.3,3,-0.256204,71.0302,4,105.176,108.862,0.321214,7.99581,-4.00257,-3.784,-0.218569,-5.28241,4.5455,-4.49847,-0.783937,0.0909,0.3636,0.4545,0.1818,0.0909,0.0909,0.6364
Norense Odiase,Texas Tech,37,42.2,112.6,14.1,58.9,60.94,12.7,23.5,2.8,20.3,42,66,0.636,56,95,0.589,0,0,0,6.7,1.5,69.5,3,1.29066,108.939,5.5,83.4849,78.9242,3.03632,152.218,6.45415,0.613107,5.84104,4.9862,17.4324,0.208908,4.7773,1.7027,3.6216,5.3243,0.2703,0.4324,0.9189,4.1622
Tarin Smith,Connecticut,33,68.7,100.4,17.3,45.3,48.27,2.3,10.2,16,16.4,51,81,0.63,84,170,0.494,15,65,0.231,1.4,2.3,34.5,3,1.17588,99.7936,3.1,103.227,101.102,2.70314,160.555,1.07693,0.163849,0.913079,0.566747,27.5758,-0.830445,1.39719,0.5758,2.3939,2.9697,2.4242,1.0909,0.3636,8
Spencer Rivers,UC Irvine,31,19.3,88.2,9.7,47.4,45.29,0,5.6,10.6,24.4,1,6,0.167,12,23,0.522,4,15,0.267,0,1.7,15.8,3,-0.418898,73.9736,3.1,100.964,102.805,0.827969,41.5637,-2.0228,-2.31825,0.295451,-3.61905,9.375,-4.80135,1.18231,0,0.4688,0.4688,0.5938,0.2812,0,1.2812
Jonathan Galloway,UC Irvine,36,61,126.8,14.6,59.9,60.54,12.7,21.7,7.5,11.2,63,106,0.594,91,152,0.599,0,0,0,4.4,0.8,69.7,3,2.39465,115.76,3.5,92.8241,94.4633,2.96096,185.153,6.29008,2.75021,3.53988,4.57781,24.5946,2.83623,1.74157,2.8108,5.1081,7.9189,1.0541,0.3514,1.027,6.9189
Khwan Fore,Louisville,34,47.5,88.1,12.2,40.5,42.22,1.4,6.1,11.6,19,13,22,0.591,31,83,0.373,12,38,0.316,0.2,1.7,18.2,3,-0.305895,82.8151,2.8,102.143,96.1469,2.19455,105.481,2.19904,-0.634812,2.83386,0.36092,19.2647,-2.68219,3.04311,0.2353,1.0882,1.3235,1.2353,0.5588,0.0294,3.2647
Taishaun Johnson,Prairie View A&M,34,52.6,100.3,20.6,41.8,52.53,3.3,8.6,20.6,21.6,104,135,0.77,49,112,0.438,15,59,0.254,0.2,2.2,78.9,3,0.765785,97.9525,3.4,103.395,109.781,1.43586,122.11,-2.12181,-0.748912,-1.3729,-1.95613,20.8571,-1.1619,-0.794235,0.6571,1.4857,2.1429,2.4,0.8571,0.0286,7.0571
Kevin Holland,Southern Miss,29,59.7,118.8,9.2,63.9,64.78,1,7.8,8.4,15.1,8,10,0.8,9,23,0.391,37,78,0.474,0.8,2.6,9.9,3,1.17774,101.681,2.2,102.085,103.302,2.16591,117.047,2.69278,1.49313,1.19965,1.20384,23.8182,-0.427675,1.63152,0.1818,1.6061,1.7879,1.2424,1,0.1212,4.8182
Eric Carter,Delaware,30,76.5,114.9,26.8,57.5,61.57,9.2,28.2,17.1,16.8,119,160,0.744,177,308,0.575,2,5,0.4,2.2,1.2,51.1,3,3.58419,120.165,3.6,106.759,106.897,2.4661,184.064,1.054,1.13807,-0.0840698,1.98791,32,2.79097,-0.803065,2.25,7.4688,9.7188,2.3438,0.6562,0.625,15.8125
Brandon Miller,Gardner Webb,26,14.7,85.6,17.7,50,50.14,10.8,14.9,0,25.8,12,25,0.48,17,34,0.5,0,0,0,2.5,2.1,73.5,3,-0.184304,80.1655,7.9,103.053,104.976,0.618707,38.42,-9.35341,-6.18405,-3.16935,-9.16295,7.7586,-7.68746,-1.47549,0.7931,1.0345,1.8276,0.0345,0.2759,0.1379,2.1724
David Efianayi,Gardner Webb,32,83.2,111.2,26.4,57.2,61.64,1.8,10.2,16.1,16.5,153,204,0.75,116,219,0.53,66,157,0.42,2.8,1.8,54.3,3,3.40506,116.942,2.5,106.471,107.745,2.5077,189.101,2.36509,2.84046,-0.475374,3.77205,33.4286,4.22062,-0.448573,0.5143,3.1429,3.6571,2.8571,1.1143,0.7429,18.2286
Michael Nzei,Seton Hall,34,71.4,120.6,14.5,60.2,62.4,8,12.5,6.4,14,64,93,0.688,121,201,0.602,0,0,0,1.5,0.3,46.3,3,2.78171,115.52,3.7,106.441,101.602,2.76137,150.243,2.62805,1.73185,0.896204,1.41896,28.8824,0.996156,0.4228,2.0588,3.1765,5.2353,0.9706,0.1765,0.3824,9
Elston Jones,UC Irvine,36,49,102.3,18.6,50.8,51.32,11.4,25.2,8.4,19.2,28,54,0.519,90,177,0.508,0,0,0,8.2,1.2,30.5,3,0.791861,99.0915,5,88.0614,89.6165,2.71199,174.362,4.40706,-1.33412,5.74118,2.49441,19.8378,-0.641876,3.13629,1.8919,4.9189,6.8108,0.8649,0.4054,1.5405,5.8108
Richard Lee,Southern Univ,31,64.2,108.9,18,55.6,56.26,1.4,6.9,10.3,14.2,18,27,0.667,32,74,0.432,75,186,0.403,0.5,1.3,10.4,3,1.38206,102.974,2.8,112.656,117.614,1.05509,109.52,-1.88358,1.25916,-3.14274,-1.08834,25.4062,1.45827,-2.54661,0.2812,1.4062,1.6875,1.1562,0.5625,0.0938,9.5938
Emmitt Holt,Providence,6,2.6,71.6,12.6,33.3,40.4,3.1,0,0,25.5,2,3,0.667,2,4,0.5,0,2,0,3.2,0,50,3,-0.45,65.8445,4.4,109.655,107.306,0.461203,4.05355,-6.78241,-5.97233,-0.810086,-8.75755,6,-7.35566,-1.40188,0.1667,0,0.1667,0,0,0.1667,1
LaQuentin Collins,Southern Univ,1,1.4,0,8.6,0,0,0,0,0,38.1,0,2,0,0,0,0,0,1,0,0,3.3,200,3,-5.63477,-2.75572,0,111.175,107.115,1.39554,2.6761,-8.98549,-7.9329,-1.05259,-10.0188,18,-7.18555,-2.83321,0,0,0,0,1,0,0
Isaiah Jackson,Providence,34,64.5,114.1,19.1,47.5,53.87,6.4,14.1,18,12.9,85,102,0.833,57,124,0.46,43,132,0.326,0.9,2.9,39.8,3,2.51804,115.595,2.6,99.4357,95.1314,3.07203,171.138,6.42483,3.96454,2.4603,5.9421,26.2647,3.26163,2.68047,1.5294,3.1176,4.6471,2.3235,1.2941,0.2059,9.6471
Roderick Taylor Jr.,North Carolina Central,21,7.8,67.7,7.7,57.1,53.51,5,15.8,1.8,47.9,0,1,0,4,7,0.571,0,0,0,1.1,2.5,14.3,3,-0.558281,52.6269,9.1,101.866,108.633,0.330898,15.965,-8.87533,-7.16317,-1.71216,-9.48165,5.6522,-9.78221,0.300557,0.2174,0.9565,1.1739,0.0435,0.2609,0.1739,0.6957
Nick Norton,Drake,12,31,122.3,22.3,56.5,61.45,0.9,13.5,37.2,15.4,34,37,0.919,28,50,0.56,28,74,0.378,0,2.3,29.8,3,4.37042,126.428,2.2,100.477,99.8724,3.31808,74.9854,6.05654,6.47282,-0.416282,5.34351,32,4.4062,0.937317,0.2143,3.9286,4.1429,5.8571,1.2143,0,14
BJ Taylor,UCF,33,85.4,113.2,23.8,46.8,55.25,1.2,6.1,19.1,11.9,187,240,0.779,78,198,0.394,61,164,0.372,0,1.5,66.3,3,4.32144,123.901,1.6,101.496,99.0038,3.61137,166.051,4.47719,4.84659,-0.369402,4.90721,34.303,4.19035,0.716857,0.3333,2,2.3333,3.2424,0.8788,0,15.9394
Nathan Ekwu,Davidson,12,5.1,80.9,25,60.5,53.8,10.9,21.5,9.7,32.1,0,5,0,10,17,0.588,1,2,0.5,3.8,0,26.3,3,-0.0235205,86.2621,8.8,98.9801,96.1129,0.655682,12.8974,-6.90427,-6.97935,0.0750787,-7.07695,6.3077,-7.22867,0.151725,0.5385,1.3846,1.9231,0.2308,0,0.2308,2.0769
Evan Fitzner,Indiana,31,24.9,105,16,50,51.35,5,14.9,6.4,11.3,10,15,0.667,24,44,0.545,17,55,0.309,1.3,1.5,15.2,3,0.658776,104.352,3.7,100.675,96.0668,1.28405,59.0297,0.474649,0.323122,0.151527,0.599922,11.4194,-0.21216,0.812081,0.4839,1.5484,2.0323,0.3871,0.2903,0.129,3.5161
Zaynah Robinson,Northern Kentucky,33,58.9,107,14.9,52.1,52.96,0.5,7.9,16.8,16.3,17,27,0.63,42,92,0.457,39,101,0.386,0.1,1.9,14,3,0.839245,97.7157,2.5,103.886,103.688,2.1085,126.891,-1.46178,-0.161416,-1.30037,-0.698109,23.6286,-0.997542,0.299433,0.0857,1.7143,1.8,2.4,0.8857,0.0286,6.9429
Gerard Martin,Grand Canyon,20,27.7,111.4,11.4,60,62.6,2.8,12.3,12.6,24.8,10,12,0.833,15,25,0.6,12,30,0.4,1.8,2.8,21.8,3,0.614661,97.0853,4.6,100.47,99.1011,1.9839,67.2065,2.45464,-0.434818,2.88946,0.64678,18.4,-1.96863,2.61541,0.45,1.95,2.4,1.35,0.9,0.3,3.8
Christian Harrison,Georgia,23,12.7,105.4,9.7,69.2,65.84,6.5,12.6,12.2,32,6,11,0.545,9,13,0.692,0,0,0,1.8,3.1,84.6,3,0.158921,93.9207,5.9,102.4,97.7522,0.77971,33.3653,3.22841,0.279836,2.94858,1.11189,7.087,-2.56226,3.67414,0.3913,0.8696,1.2609,0.4783,0.3913,0.1304,1.0435
Marial Shayok,Iowa St,34,79.9,111.9,26.9,57.1,61.08,5.1,11.7,12.2,17.6,108,123,0.878,158,278,0.568,71,185,0.384,0.8,1.7,26.6,3,4.66975,128.385,2.5,102.592,97.568,3.63874,186.847,4.25113,4.60648,-0.355351,5.37358,32.8824,5.3424,0.0311799,1.3824,3.5294,4.9118,1.9706,0.9412,0.2353,18.7353
B.J. Stith,Old Dominion,35,86.1,105.1,24.7,48.2,52.31,4.4,19.7,7.2,12.6,100,118,0.847,134,307,0.436,73,198,0.369,0.9,1.6,23.4,3,2.87031,111.464,2.1,92.529,93.4445,4.30603,233.604,0.476423,0.0809044,0.395519,3.64707,34.4571,2.61839,1.02869,1.4286,6.0857,7.5143,1.0286,0.9143,0.2571,16.7714
Jack Salt,Virginia,37,39.9,114.6,14.3,60.2,58.96,12,16,4.8,18.1,24,47,0.511,56,93,0.602,0,0,0,2.4,1.3,50.5,3,1.41809,112.416,5.2,92.4575,87.6409,2.37605,105.949,5.42252,2.45725,2.96528,2.81746,16.5405,0.0725304,2.74493,1.4865,2.2432,3.7297,0.4324,0.3243,0.2973,3.6757
Chris Collins,Texas A&M,25,28.7,70.5,6.9,11.4,21.38,0.6,8,12.3,20.6,9,10,0.9,1,5,0.2,2,30,0.067,0.3,1.9,28.6,3,-1.44257,59.1391,2.9,107.272,102.531,1.37166,58.1076,-1.6098,-2.15007,0.54027,-3.31593,14.68,-5.17381,1.85788,0.08,1.12,1.2,1.12,0.48,0.04,0.68
